
Jan  5 00:13:34 d.mx.example.net sm-mta[13138]: jB88DYuG013138: from=<u13@h362.com>, size=684, class=0, nrcpts=1, msgid=<u363@h364.localhost>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
****Jan  5 00:13:34 d.mx.example.net sm-mta[13152]: jB88DYuG013138: to=<u13@h362.com>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=120684, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88DZ5D000538 Message accepted for delivery) 
Jan  5 00:13:39 b.mx.example.net sm-mta[8716]: jB88De7c008711: to=<u13@h362.com>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=122629, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88De15000974 Message accepted for delivery) 
****Jan  5 00:13:39 b.mx.example.net sm-mta[8711]: jB88De7c008711: from=<>, size=2629, class=0, nrcpts=1, msgid=<u847@h848.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
Jan  5 00:13:40 c.mx.example.net sm-mta[9337]: jB88Degv009337: from=<u13@h362.com>, size=681, class=0, nrcpts=1, msgid=<u919@h364.localhost>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
****Jan  5 00:13:40 c.mx.example.net sm-mta[9345]: jB88Degv009337: to=<u13@h362.com>, delay=00:00:01, xdelay=00:00:00, mailer=esmtp, pri=120681, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88DfX8001070 Message accepted for delivery) 
Jan  5 00:13:41 b.mx.example.net sm-mta[8775]: jB88Dgb5008768: to=<u13@h362.com>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=122627, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88DgnS009453 Message accepted for delivery) 
****Jan  5 00:13:41 b.mx.example.net sm-mta[8768]: jB88Dgb5008768: from=<>, size=2627, class=0, nrcpts=1, msgid=<u1047@h1048.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
Jan  5 00:13:43 b.mx.example.net sm-mta[8826]: jB88Dhp5008812: to=<u13@h362.com>, delay=00:00:01, xdelay=00:00:00, mailer=esmtp, pri=122630, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88DiQW009546 Message accepted for delivery) 
****Jan  5 00:13:43 b.mx.example.net sm-mta[8812]: jB88Dhp5008812: from=<>, size=2630, class=0, nrcpts=1, msgid=<u1132@h848.net>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
Jan  5 00:13:46 d.mx.example.net sm-mta[13630]: jB88DkmN013630: from=<u13@h362.com>, size=684, class=0, nrcpts=1, msgid=<u1387@h364.localhost>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
****Jan  5 00:13:46 d.mx.example.net sm-mta[13636]: jB88DkmN013630: to=<u13@h362.com>, delay=00:00:01, xdelay=00:00:00, mailer=esmtp, pri=120684, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88DlQj001642 Message accepted for delivery) 
Jan  5 00:13:52 c.mx.example.net sm-mta[9749]: jB88Dq9w009749: from=<u13@h362.com>, size=683, class=0, nrcpts=1, msgid=<u1874@h364.localhost>, proto=ESMTP, daemon=MTA, relay=relay_id [10.11.12.13] 
****Jan  5 00:13:52 c.mx.example.net sm-mta[9760]: jB88Dq9w009749: to=<u13@h362.com>, delay=00:00:00, xdelay=00:00:00, mailer=esmtp, pri=120683, relay=relay_id [10.11.12.13], dsn=2.0.0, stat=Sent (jB88Drx0002227 Message accepted for delivery) 
